fhdi_herb_id,herb_latin_name,herb_english_name,herb_pinyin_name,herb_chinese_name,properties,function ,indication,therapeutic_class
h00295,actinidia rubricaulis var coriacea,coriaceousleaf actinidia,ge ye mi hou tao,,not specified,anticarcinoma,tumor,not specified
h00296,caulis mahoniae,stem of leatherleaf mahonia,gong lao mu,,cold bitter,to remove dimpheat quench fire and counteract toxicity,berberine is the main active component with an action similar to rhizoma coptidis another active component isotetrandrine is an anticarcinogenic agent,antipyretic detoxicate drugs
h00297,not specified,ilex cornuta lindl,gou gu gen,,not specified,not specified,not specified,not specified
h00298,ilex cornuta,chinese holly bark,gou gu shu pi,,not specified,to supplement yin boost liver and kidney strengthen lumbus and legs,liver kidney vacuity weakness in lumbus and knees,not specified
h00299,not specified,folium ilicis cornutae,gou gu ye,,not specified,not specified,yin vacuity taxation fever cough and hemoptysis dizzy head and vision limp aching lumbus and knees winddamp impediment pain white patch wind,asthenic heat dispelling drugs
h00300,not specified,ilex cornuta lindl,gou gu zi,,not specified,not specified,not specified,not specified
h00301,cudrania cochinchinensis,cochinchina cudrania,gou ji,,warm sweet bitter,to dispel wind and free network vessels clear heat and remove damp resolve toxin and disperse swelling,winddamp impediment pain knocks and falls jaundice parotitis phthisis gastric ulcer duodenal ulcer stranguryturbidity tympanites menstrual block taxation damage and coughing of blood clove sore and swollen welling abscess,for tonifying weakness
h00302,poncirus trifoliata,trifoliateorange,gou ju,,not specified,to break qi and dissipate binds course liver and resolve depression,binding depression of liver qi  mammary consumption mounting qi qi stagnation distention fullness in stomach duct and abdomen pain in stomach duct constipation prolapse of uterus prolapse of rectum,not specified
h00303,poncirus trifoliata,trifoliateorange young fruit,gou ju zhi shi,,not specified,see citrus aurantium,see citrus aurantium,not specified
h00304,not specified,fructus lycii,gou qi,,not specified,not specified,not specified,not specified
h00305,lycium chinense,chinese wolfberry rootbark equivalent plant lycium barbarum,gou qi gen pi,,not specified,to eliminate heat in blood lower vacuity heat,diabetes mellitus malaria tidal fever with night sweat child gan accumulation with fever cough and hemoptysis or dyspnea blood ejection spontaneous external bleeding,not specified
h00306,lycium chinense,chinese wolfberry leaf,gou qi ye,,not specified,to supplement vacuity and boost essence clear heat and allay thirst dispel wind and brighten eyes,vacuity taxation with fever vexation and thirst sore red eyes and clouded vision eye screen night blindness flooding vaginal discharge heat toxin sores,not specified
h00307,fructus lycii,fruit of chinese wolfberry,gou qi zi,,mild sweet,to benefit the liver and the kidney to replenish vital essence and to improve eyesight,lassitude in lumbus and knees emission dizziness and dim vision lung disease with cough diabetes mellitus,yintonifying medicinal
h00308,broussonetia papyrifera,common papermulberry,gou shu,,not specified,to dispel wind brighten eyes disinhibit urine,wind papules red eyes with gall inhibited urination dysuria,not specified
h00309,ramulus uncariae cum uncis,gambir plant,gou teng,,minor cold sweet,to remove heat subdue hyperactivity of the liver and arrest convulsions,infant fright wind and night crying exuberant heat stirring wind epilepsy of pregnancy liver yang dizziness liver fire headache,liverpacifying windextinguishing medicinal
h00310,ancistrocladus korupensis,ancistrocladus,gou zhi teng,,not specified,not specified,not specified,not specified
