fhdi_herb_id,herb_latin_name,herb_english_name,herb_pinyin_name,herb_chinese_name,properties,function ,indication,therapeutic_class
h00001,acacia nilotica,gumarabic tree,a la bo jiao jin he huan,,not specified,not specified,not specified,not specified
h00002,acacia arabica,arabian acacia,a la bo jin he huan,,not specified,not specified,not specified,not specified
h00004,ferula assafoetida,asafetida giantfennel resin,a wei,,warm pungent bitter,to transform concretion and disperse accumulation kill worms interrupt malaria,concretion and conglomeration lump glomus worm accumulation meattype food accumulation cold pain in heart and abdomen malaria dysentery,food digestion
h00005,ardisiae japonicae,japanese ardisia herb,ai di cha,,mild pungent bitter,1 to eliminate phlegm and relieving cough2 to promote diuresis to deprive dampness 3 to activate blood circulation and stop bleeding,1 bergenin an active comonent is an expectorant 2 its volatile oil or flavone can relieve bronchospasm induced by histamine in vitro 3 its decoction inhibits the growth of pneumococcus staphylococcus aureus and influenza virus in vitro,antitussive antiasthmetics
h00006,ephedra minuta,small ephedra,ai ma huang,,not specified,see ephedra sinica,see ephedra sinica,not specified
h00007,folium artemisiae argyi,leaf of argy wormwood,ai ye,,warm pungent bitter,1 to warm the channels and stop bleeding 2 to dispel cold and stop pain,cold pain in abdomen menstrual disorder due to cold infertility due to uterus cold blood ejection spontaneous external bleeding flooding and spotting fetal spotting itchy skin,channelwarming hemostatic
h00008,phyllanthus emblica,emblic leafflower,an mo le,,not specified,to relieve cough and transform phlegm engender liquid and allay thirst resolve toxin,common cold with fever cough throat pain diphtheria enteritis diarrhea eczema heat vexation and thirst,not specified
h00009,benzoinum,benzoin,an xi xiang,,mild pungent bitter,to restore consciousness to activate the flow of qi and blood to relieve pain,sudden stroke and fulminant reversal pain in heart and abdomen postpartum blood dizziness child fright epilepsy wind impediment and lumbago,resuscitative stimulant resuscitative medicinal
h00010,eucalyptus globulus,eucalyptus oil,an you,,not specified,skin irritant used in nerval pain,skin irritant used in nerval pain,not specified
h00011,magnolia biloba,twolobed officinal mangolia,ao ye hou po,,not specified,see magnolia officinalis ,see magnolia officinalis,not specified
h00012,croton tiglium l,fructus crotonis,ba dou,,hot pungent,1 to drain accumulated cold downward 2 to transform water and reduce edema 3 to resolve phlegm and benefit throat,distention fullness and sudden pain in chest and a bdomen fecal stoppage diarrhea and dysentery edema and enlarged abdomen phlegmrheum asthma fullness throat wind throat impediment concretion and conglomeration welling abscess and flat abscess malign sore and scab lichen,offensive purgative medicinal
h00013,radix morindae officinalis,root of morinda officinalis,ba ji,,minor warm pungent sweet,1 treatment of deficient kidney yang manifested as soreness and weakness in the lower back and knees impotence premature ejaculation infertility frigidity irregular menstruation and cold sensation and pain in the lower abdomen a morinda root bajitian is used with ginseng renshen cistanche roucongrong and dadder seed tusizi for impotence premature ejaculation and infertility b morinda root bajitian is used with teasel root xuduan and eucommia bark duzhong for soreness and weakness in lower back and knees c morinda root bajitian is used with cinnamon bark rougui galangal rhizome gaoliangjiang and evodia fruit wuzhuyu for irregular menstruation 2 morinda root bajitian is used with teasel root xuduan mulberry mistletoe sangjisheng and hypoglauca yam bixie for cold sensation and pain in the lumbar region and knees or motor impairment,treatment of impotence seminal emission infertility menstrual disorders pain and cold feeling in the lower abdomen rheumatic arthralgia limpness of the legs,for tonifying weakness
h00014,not specified,morindae officilis radix,ba ji tian,,not specified,not specified,neurasthenia impotence and emission cold pain in abdomen urinary incontinence vacuity cold of uterus windcolddamp impediment aching in lumbus and knees,yang reinforcing drugs
h00015,fructus anisi stellati,chinese star anise,ba jiao hui xiang,,warm pungent,to dispel cold to regulate the flow of qi and to relieve pain,treatment of abdominal colic lumbago due to deficiency of the kidney vomiting and eqigastric pain due to cold of the stomach,warming interior drugs
h00016,dysosma versipellis,dysosmae verspiellis rhixoma et radix,ba jiao lian,,not specified,not specified,not specified,antipyretic detoxicate drugs
h00017,ilex paraguariensis,paraguay tea,ba la gui cha,,not specified,to clear heat and resolve toxin eliminate inflammation suppress cough and dispel phlegm promote contraction disinhibit urine free stool induce sweat5509,rheumatis scurvy heart disease stomach disease diabetes5509,not specified
h00018,paullinia cupana,guarana,ba xi xiang wu huan zi,,not specified,not specified,not specified,not specified
h00019,galium aparine,catchweed bedstraw,ba xian cao,,not specified,to clear damp heat dissipate stasis disperse swelling resolve toxin,stranguryturbidity hematuria knocks and falls intestinal welling abscess swollen boil otitis media,not specified
h00020,semen lablab album,white hyacinth bean,bai bian dou,,minor warm sweet,to invigorate the spleen and remove damp paticularly the summer dampsemen lablab album stirfried to invigorate the spleen and remove damp,treatment of weakness of the spleen and stomach with loss of appetite and loose bowels excessive leukorrhea vomiting diarrhea distress in the chest and distension in the abdomen caused by summerdampsemen lablab album stirfried diarrhea and excess,qi reinforcing drugs
h00021,acorus calamus,drug sweetflag,bai chang,,not specified,to transform phlegm and open orifices dispel damp and fortify stomach kill worms and relieve itch,stupor due to phlegm reversal wind stroke epilepsy fright palpitation and amnesia tinnitus and deafness food accumulation abdominal pain diarrhea and dysentery winddamp pain eczema scab sore,not specified
h00022,nitraria tangutorum,nitraria,bai ci,,not specified,to fortify spleen and assisting movement promote lactation quiet spirit,reduced food intake due to spleen vacuity indigestion scant breast milk neurasthenia,not specified
h00023,sophora viciifolia,vetchleaf sophora,bai ci hua,,not specified,to clear heat and disinhibit throat cool blood and disperse swelling,swelling pain in throat cough hepatitis dysentery strangury syndrome edema hematuria nosebleedepistaxis hematochezia,not specified
h00024,rhizoma typhonii,rhizome of giant typhonium,bai fu zi,,warm pungent sweet,to dispel windphlegm to check convulsions and to counteract toxicity promote subsidence of modulation and relieve pain,treatment of stroke with gurgling in the throat deviation of the eye and the mouth and impairment of speech upward invasion of phlegm causing headache accompanied with dizziness heaviness of the body restlessness fidgetness nausea and cold extremit,phlegresolving medicine
h00025,semen ginkgo,ginkgo seed,bai guo,,mild sweet bitter punkery,1 to strengthen lung qi and soothe asthma 2 to relieve leukorrhea,ad syndrome primary degenerative dementia of alzheimer disease multiinfarct dementia improving cognitive function in elderly dementia patients stable intermittent claudication cerebrovascular insufficiency diseases cough with profuse phlegm vaginal discharge enuresis and frequent urination,antitussive antiasthmetics
h00026,lithospermum officinale,common gromwell,bai guo zi cao,,not specified,to resolve toxin and disperse swelling,arthritis,not specified
h00027,bulbus lilii,bulb of greenish lily,bai he,,minor cold sweet,to nourish yin and moisten the lung and to tranquilize the mind,yin vacuity enduring cough phlegm containing blood fright palpitation and vacuity vexation insomnia and frequent dreaming trance,yintonifying medicinal
h00028,cleome gynandra l,semen cleomis,bai hua cai zi,,not specified,not specified,windcold sinew and bone numbness aching pain in back and shoulder lumbago swelling pain due to external injury bone tuberculosis hemorrhoids and fistulas,winddampnessdispelling and colddispersing medicinal
h00029,plumbago zeylanica,whiteflower leadword,bai hua dan,,not specified,to dispel wind and eliminate damp move qi and quicken blood resolve toxin and disperse swelling,winddamp impediment pain liver spleen enlargement amenorrhea due to blood stasis sprain from knocks and falls swollen welling abscess and scrofula scab and lichen with itching poisonous snake bite,not specified
h00030,salvia miltiorrhiza f alba,whiteflower danshen,bai hua dan shen,,not specified,see salvia miltiorrhiza ,see salvia miltiorrhiza,not specified
h00031,not specified,radix salviae przewalskii albae,bai hua gan xi shu wei cao,,not specified,not specified,not specified,not specified
h00032,peucedanum praeruptorum,whiteflower hogfennel,bai hua qian hu,,not specified,see angelica decursiva ,see angelica decursiva,not specified
h00033,herba hedyotis diffusae,all  grass of spreading hedyotis,bai hua she she cao,,cold sweet slightly bitter,1 to eliminate heat and toxic material promote blood circulation and remove blood stasis 2 to clear dampnessheat,lung heat cough asthma swelling pain in throat intestinal welling abscess swelling of sores and boils poisonous snake bite heat strangury with inhibited pain edema dysentery enteritis dampheat jaundice carcinoma,antipyretic detoxicate drugs
h00034,not specified,not specified,bai hua shui fei ji,,not specified,not specified,not specified,not specified
h00035,patrinia villosa,whiteflower patrinia equivalent plant patrinia scabiosaefolia,bai jiang,,not specified,to clear heat and resolve toxin expel pus and break stasis,intestinal welling abscess dysentery red and white vaginal discharge postpartum blood stasis abdominal pain red eyes with gall swollen welling abscess scab and lichen,not specified
h00036,herba patriniae,all  grass of dahurian patrinia,bai jiang cao,,minor cold pungent bitter,1 to eliminate heat and toxic material relieve abscess and promote pus drainage 2 to remove blood stasis and alleviate pain,1 two active components patrinene and isopatrinene possess sedative effect 2 to promote regeneration of hepatic cells and portal circulation protect hepatic cells from degernation and improve hepatic function,antipyretic detoxicate drugs
h00037,not specified,chrysanthemum morifoliumramat,bai ju hua gen,,not specified,not specified,not specified,not specified
h00038,veratrum album,white falsehellebore,bai li lu,,not specified,not specified,not specified,not specified
h00039,thymus serpyllum,breckland thyme,bai li xiang,,not specified,not specified,not specified,not specified
h00040,radix ampelopsis,root of japanese ampelopsis,bai lian,,minor cold pungent bitter,to remove toxic heat to cure carbuncles and to reduce nodules,swelling toxin of sore and welling abscess burns and scalds scrofula damp sore warm malaria frightepilepsy blood dysentery intestinal wind hemorrhoids and fistulas leukorrhea knocks and falls bleeding due to external injury,antipyretic detoxicate drugs
h00041,not specified,fructus ampelopsis japponicae,bai lian zi,,not specified,not specified,not specified,not specified
h00042,herba serissae,all  grass of snow of june,bai ma gu,,cool pungent bitter,not specified,not specified,not specified
h00043,imperata cylindrica var major,lalang grass rhizome,bai mao gen1,,not specified,to cool blood and stanch bleeding clear heat and engender liquid disinhibit urine and free strangury,acute nephritis with edema acute glomerulonephritis chronic glomerulonephritis acute hepatitis blood ejection due to blood heat spontaneous external bleeding hematuria febrile diseases with vexation and thirst jaundice edema heat strangury with inhibited pain measles papules,not specified
h00044,hydrastis canadensis,goldenseal,bai mao gen4,,not specified,not specified,not specified,not specified
h00045,not specified,herba solani lyrati,bai mao teng,,not specified,not specified,malaria jaundice edema strangury pain in joints due to rheumatalgia erysipelas clove sore,antipyretic detoxicate drugs
h00046,herha ajugae ciliatae,all  grass of decumbent bugle,bai mao xia ku cao,,not specified,1 to clear lungheat eliminate phlegm and relieve cough 2 to clear away heat and toxic material and relieve carbuncle  3 clear away heat to cool the blood 4 lower blood pressure,swelling pain in throat lung heat cough pulmonary welling abscess red eyes with gall dysentery swollen welling abscess and clove sores poisonous snake bite knocks and falls,antipyretic detoxicate drugs
h00047,prunus mume,japanese apricot flower,bai mei hua,,not specified,to soothe liver harmonize stomach and transform phlegm,globus hystericus liver stomach qi pain inappetence dizziness scrofula,not specified
h00048,aquilaria sinensis,chinese eaglewood,bai mu xiang,,not specified,see aquilaria agallocha,see aquilaria agallocha ,not specified
h00049,not specified,chelidonii herba,bai qu cai,,not specified,not specified,pain in sensory nerve endings pain from ulcer in digestive tract stomachache abdominal pain enteritis dysentery chronic bronchitis pertussis cough jaundice edema ascites scab and lichen with swelling of sores snake or insect bites,antitussive antiasthmetics
h00050,thesium chinense,chinese bastardtoadflax,bai rui cao,,not specified,to clear heat disinhibit damp resolve toxin,windheat common cold summerheat stroke pulmonary welling abscess nipple moth scrofula mammary welling abscess swollen boil strangury syndrome jaundice lumbago emission,not specified
h00051,radix paeoniae alba,white peony root,bai shao,,minor cold sour bitter,1 to nourish blood and consolidate the yin 2 to pacify the liver and stop pain 3 to soothe liver yang,headache and dizziness pain in ribside abdominal pain spasm in limbs anemia with yellow complexion menstrual disorder profuse menstruation spontaneous sweating night sweating,bloodtonifying medicinal
h00052,radix pulsatillae,root of chinese pulsatilla,bai tou weng,,cold bitter,1 to clear heat and release toxins 2 to cool the blood and stop dysentery,amebic dysentery nosebleed flooding and spotting bleeding from hemorrhoids coldheat warm malaria vaginal discharge pudendal itch eczema scrofula welling abscess painful red eyes neurodermatitis,antipyretic detoxicate drugs
h00053,not specified,dictamni cortex,bai xian pi,,not specified,not specified,1 inhibiting the growth of pathogenic fungi 2 its infusion lowers vaccineinduced fever in rabbits 3 dictamnine one of its active components increase the myocardial tone of frogs,heatclearing and dampnessdrying medicinal
h00055,not specified,radix stephaniae cepharanthae,bai yao zi,,not specified,not specified,septicemia acute hepatitis bacillary dysentery parotitis neurodermatitis swelling pain in throat heat toxin swollen welling abscess winddamp impediment pain abdominal pain and diarrhea blood ejection bleeding spontaneous external bleeding bleeding due to external injury,antipyretic detoxicate drugs
h00056,not specified,rubus innominatus s moore var kuntzeanus hemsl,bai ye mei,,not specified,not specified,not specified,not specified
h00057,radix angelicae dahuricae,dahurian angelica root,bai zhi,,warm pungent,to dispel wind to remove damp to clear the stuffed nose to relieve pain and to promote the subsidence ofswelling and drainage of pus,windcold common cold nasal congestion headache especially in forehead and superciliary region toothache infections acute mastitis sores excessive leukorrhea stomachache,pungentwarm exteriorreleasing medicinal
h00058,semen biotae,seed of chinese arborvitae,bai zi ren,,mild sweet,to calm the nerves to check excessive perspiration and to relax the bowels,fright palpitation and fearful throbbing sleepless and amnesia night sweating intestinal dry and constipation,tranguilizing medicinal
h00059,herba lobeliae chinensis,chinese lobelia herb,ban bian lian,,not specified,to cause diuresis and to remove toxic heat,edema edema and enlarged abdomen edema in face and foot swollen welling abscess and clove sores snake or insect bites,antipyretic detoxicate drugs
h00060,radix isatidis seu baphicacanthi,root of dyers woad,ban lan gen,,cold bitter,to remove toxic heat to reduce heat in blood and to soothe sore throat,epidemic encephalitis measles papulis parotitis influenza warm toxin macular eruption ardent fever with headache massive head scourge throat pain maculopapular eruption epidemic parotitis erysipelas hepatitis swelling toxin of sore and welling abscess,antipyretic detoxicate drugs
h00061,thalictrum petaloideum,petalformed meadowrue,ban rui tang song cao,,not specified,to clear heat dry damp resolve toxin,dampheat diarrhea dysentery jaundice lung heat cough red eyes with gall swelling welling abscess and sore and boil exudative dermatitis,not specified
h00062,aloe vera var chinensis,chinese aloe dried juice,ban wen lu hui,,not specified,see aloe vera ,see aloe vera ,not specified
h00063,rhizoma pinelliae,tuber of pinellia,ban xia,,warm pungent,to remove damp and phlegm to relieve nausea and vomiting and to eliminate stuffiness in the chest and the epigastrium,cough and asthma with abundant phlegm vomiting nausea glomus in chest dizziness headache vexation and agitation in night goiters with phlegm node swelling toxin of welling abscess and flat abscess,phlegresolving medicine
h00064,herba scutellariae barbatae,all  grass of barbed skullcap,ban zhi lian,,cold pungent slightly bitter,to remove toxic heat and to cause diuresis,heat toxin swollen welling abscess throat pain pulmonary welling abscess intestinal welling abscess scrofula poisonous snake bite knocks and falls blood ejection spontaneous external bleeding blood strangury edema ascites carcinoma,antipyretic detoxicate drugs
h00065,ephedra lepidosperma,scalyseed ephedra,ban zi ma huang,,not specified,not specified,not specified,not specified
h00066,rhizoma menispermi,chinese cinquefoil,bei dou gen,,not specified,to remove toxic heat and relieve rheumatic pains,treatment of sore throat colitis dysentery rheumatic arthralgia,antipyretic detoxicate drugs
h00067,cedrus atlantica,atlas cedar,bei fei xue song,,not specified,not specified,not specified,not specified
h00069,aloe ballyi,bally aloe,bei li lu hui,not specified,not specified,not specified,not specified,not specified
h00070,radix glehniae,root of coastal glehnia,bei sha shen,,minor cold sweet,to replenish yin of the lung and stomach remove heat from the lung and promote fluid secretion,dry cough due to lung dryness vacuity taxation hemoptysis stomach yin insufficiency fluid damage and thirst,yintonifying medicinal
h00071,fructus schiandrae,fruit of chinese nmagnoliavine,bei wu wei,,warm sweet sour,treatment of chronic cough and asthma nocturnal emission spermatorrhea enuresis frequent urination protracted diarrhea spontaneous sweating night sweating impairment of body fluid with thirst shortness of breath and feeble pulse diabetes caused by internal heat palpitation and insomnia,1 its decoction exerts bacteriostatic effect on pseudomonas aeruginosa 1128 staphylococcus aureus 164 flexners bacillus 132 and typhoid bacillus 18 in vitro2 schizandrin one of its active components can protect the liver from damage3 enhancing lymphocyteblastogenesis rate4 cardiotonic and sedative,astriction
h00072,not specified,schisandrae chinensis fructus,bei wu wei zi,,not specified,not specified,not specified,astringent medicinal
h00073,chrysanthemum boreale,boreal wild chrysanthemum,bei ye ju,,not specified,see chrysanthemum indicum,see chrysanthemum indicum,not specified
h00074,piperis longi fructus,long pepper fruit,bi ba,,not specified,not specified,cold pain in stomach duct and abdomen vomiting diarrhea headache toothache deepsource nasal congestion coronary heart disease angina pectoris,warming interior drugs
h00075,myroxylon pereirae,peru balmtree resin,bi lu xiang jiao,,not specified,to relieve cough and dispel phlegm resolve toxin and kill worms,scab sore copper coin lichen,not specified
h00076,ricinus communis,castorbean root,bi ma gen,,not specified,to dispel wind and resolve tetany quicken blood and disperse swelling,tetanus epilepsy winddamp impediment pain knocks and falls swollen welling abscess and scrofula prolapse of rectum prolapse of uterus,not specified
h00077,semen ricini,castor seed,bi ma zi,,mild pungent sweet,to induce subsidence of swelling and remove toxic substances to cause purgation,swelling toxin of welling abscess and flat abscess throat impediment scrofula dry stool,external medicinal draw out toxin resolve putridity
h00078,hypericum wightianum,wights stjohnswort equivalent plant hypericum elodeoides,bian di jin,,not specified,to clear heat and resolve toxin arrest diarrhea,white mouth sore in children infant pneumonia stomatitis mammary welling abscess yellowwater sore poisonous snake bites diarrhea enduring dysentery,not specified
h00079,flos dolichoris,flower of hyacinth dolichos,bian dou hua,,mild sweet,to strengthen the spleen and transform dampness,to clear summerheat and eliminate dampness from the upperjiao invigorate the spleen and strengthen the stomach for summer heatdampness syndrome with feeling of oppression in the chest dysuria and diarrhea vomiting diarrhea and dysentery of dampnes,dampness removing drugs
h00081,mangifera persiciformis,peachform mango,bian tao,,not specified,see mangifera indica,see mangifera indica,not specified
h00082,herba polygoni avicularis,allgrass of common knotgrass,bian xu,,minor cold bitter,to relieve dysuria to kill parasites and to alleviate itching,urethritis lithiasis chyluria dysentery parotitis heat strangury short voidings of reddish urine dripping with inhibited pain eczema pudendal itch vaginal discharge ascariasis,diuretic dampness excreting drugs
h00083,angelica keiskei,seashore angelica,bin hai dang gui,,not specified,not specified,not specified,not specified
h00084,semen arecae,areca seed,bing lang,,warm pungent bitter,1 to kill parasites 2 to promote qi circulation 3 to promote water metabolism,wormccumulation food stagnation distending pain in stomach duct and abdomen diarrhea and tenesmus beriberi edema malaria,antiparasitic drugs
h00085,borneolum syntheticum,borneol,bing pian,,minor cold pungent bitter,1 to open the orifices and clear the mind 2 to clear heat and stop pain,angina pectoris phlegm reversal wind stroke coma convulsion swelling pain in throat mouth sore swollen and painful eyes sores ulcer,resuscitative stimulant resuscitative medicinal
h00086,scutellaria scordifolia,twinflower skullcap,bing tou huang qin,,not specified,to clear heat and disinhibit damp resolve toxin and disperse swelling,hepatitis cirrhosis with ascites appendicitis mastitis snake or insect bites knocks and falls,not specified
h00088,herba menthae,mentha peppermint,bo he,,cool pungent,to dispel windheat from the head and eyes and to promote eruption,chronic urticaria infection of upper respiratory tract sarcoma windheat exterior syndrome headache and red eyes swelling pain in throat noneruption of measles dormant papules with pruritus liver depression and ribside pain abdominal distention,pungent cool diaphoretics
h00089,peumus boldus,boldo,bo lu du shu,,not specified,not specified,not specified,not specified
h00090,evodia rutaecarpa var bodinieri,guizhou evodia,bo shi wu zhu yu,,not specified,not specified,not specified,not specified
h00091,psoralea corylifolia,malaytea scurfpea,bu gu zhi,,extreme warm pungent bitter,to supplement kidney and invigorate yang  accept qi and calm asthma warm spleen and check diarrhea,fracture osteomalacia osteoporosis kidney yang vacuity cold pain in lumbus and knees impotence and emission frequent urination enuresis kidney qi insecurity vacuity asthma spleenkidney vacuity chronic diarrhea white patch wind alopecia areata psoriasis,for tonifying weakness
h00092,dionaea muscipula,venuss flytrap,bu ying cao,,not specified,not specified,not specified,not specified
h00093,not specified,microctis folium,bu zha ye,,not specified,not specified,not specified,external medicinal draw out toxin resolve putridity
h00094,fructus xanthii sibirici,fruit of siberian cockleblur,cang er zi,,warm pungent bitter,to dispel wind and damp and to relieve nasal obstruction,1 lowering blood sugar with similar mechanism as phenethyl biguanide  dbi  2 its chief poisonous component is rhamnose the toxic effects in rats guineapigs and rabbits by different routes of administration are similar ld50 is 093gkg in mice,pungentwarm exteriorreleasing medicinal
h00095,rhizoma atractylodis,rhizome of swordlike atractylodes,cang zhu,,warm pungent bitter,to remove damp and invigorate the function of the spleen to disple windcold and to improve eyesight,spleenstomach damp turbidity fatigue hypodynamia glomus in chest abdominal distention inappetence vomiting and diarrhea phlegmrheum damp edema exterior damp heavy head and generalized pain damp impediment aching pain in limbs crippling wilt night blindness,dampness removing drugs
h00096,not specified,boschniakia rossica herba,cao cong rong,,not specified,not specified,kidney vacuity impotence emission cold pain in lumbus and knees dribbling urination hematuria infertility due to uterus cold vaginal discharge flooding and spotting intestinal dry and constipation,yang reinforcing drugs
h00097,fructus tsaoko,tsaoko,cao guo,,warm pungent,to remove colddamp from the spleen and the stomachand to stop malarial attacks,treatment of accumulation of colddamp in the spleen and the stomach manifested by epigastric distension fullness and pain accompanied by vomiting malaria with paroxysms of chills and fever,dampness removing drugs
h00098,cacumen et folium biotae,leafy twigs of oriental arborvitae,ce bai ye,,minor cold bitter punkery,to arrest bleeding by removing heat from blood and to promote the growth of black hair,hemoptysis duodenal bleeding chronic bronchitis tuberculosis blood ejection spontaneous external bleeding hematuria hematochezia blood dysentery incessant flooding and spotting cough with profuse phlegm winddamp impediment pain erysipelas epidemic parotitis scalds burns,bloodcooling hemostatic medicinal
h00099,camellia sinensis syn thea sinensis,tea root,cha shu gen,,not specified,to strengthen heart and disinhibit urine quicken blood and regulate menstruation clear heat and resolve toxin,edema due to heart disease hepatitis dysmenorrhea toxin swelling of sores mouth sore burns and scalds zoster psoriasis,not specified
h00100,ligusticum sinense cv chaxiong,chaxiong ligusticum,cha xiong,,not specified,not specified,not specified,not specified
h00101,camellia sinensis,thea sinensis,cha ye,,cool sweet bitter,to clear head and eyes eliminate vexation and allay thirst disperse food transform phlegm disinhibit urine resolve toxin,headache dim vision red eyes desire to sleep common cold vexation and thirst food accumulation bad breath phlegm asthma epilepsy inhibited urination diarrhea throat swelling swelling of sores and boils burns and scalds,not specified
h00102,camellia sinensis syn thea sinensis,tea seed,cha zi,,not specified,to downbear fire transform phlegm and calm asthma,phlegmheat cough ringing in head,not specified
h00103,radix bupleuri,root of chinese thorowax,chai hu,,minor cold pungent bitter,to relieve fever to soothe the liver and to cure drooping and ptosis,common cold influenza malaria acute pancreatitis pleuritis neuritis gastritis acute cholecystitis hepatitis fever due to external contraction keratitis coldheat in turn liver depression and ribside pain mammary distention dizziness and headache menstrual disorder prolapse of rectum due to qi vacuity fall prolapse of uterus gastroptosis,pungent cool diaphoretics
h00104,trollius macropetalus,langpetal globeflower,chang ban jin lian hua,,not specified,to clear heat and resolve toxin,infection of upper respiratory tract acute or chronic tonsillitis acute conjunctivitis acute otitis media acute lymphangitis acute dysentery acute appendicitis,not specified
h00105,kadsura peltigera syn kadsura longipedunculata ,longpeduncle kadsura,chang geng nan wu wei zi,,not specified,to move qi quicken blood relieve pain,qi stagnation abdominal distention abdominal pain stomachache pain in sinews and bones dysmenorrhea knocks and falls innominate toxin swelling,not specified
h00106,corydalis longicalcarata,longspur corydalis,chang ju yan hu suo,,not specified,not specified,not specified,not specified
h00107,saussurea superba syn saussurea hieracioides ,hawkweedlike saussurea,chang mao feng mao ju,,not specified,to drain water retension,edema ascites hydroperitoneum effusion in thorax,not specified
h00108,radix dichroae,root of antifebrile dichroa,chang shan,,cold pungent bitter,to expel phlegm and relieve malaria,malaria scrofula,emetic medicinal
h00109,eurycoma longifolia,not specified,dong ge a li,,not specified,not specified,not specified,not specified
h00110,massa fermentata medicinalis preparata,medicated leaven,chao shen qu,,warm pungent sweet,not specified,not specified,food digestion
h00111,angelica gigas,gigantic angelica,chao xian dang gui,,not specified,to extinguish wind and harmonize blood,pain in joints wrenching and contusion,not specified
h00112,carlina acaulis,stemless carline 392thistle,chao xian ji,,not specified,not specified,not specified,not specified
h00113,fructus aurantii preparata,prepared fruit of seville orange,chao zhi qiao,,minor cold pungent bitter,treatment of distension and pain in the chest and hypochondriac regions due to stagnation of qi indigestion with retention of phlegm and fluid gastroptosis prolapse of the rectum prolapse of the uterus,treatment of distension and pain in the chest and hypochondriac regions due to stagnation of qi indigestion with retention of phlegm and fluid gastroptosis prolapse of the rectum prolapse of the uterus,regulation of qi
h00114,plantago asiatica,asiatic plantain equivalent plant plantago major  plantago depressa,che qian,,not specified,to clear heat and disinhibit urine cool blood resolve toxin,heat bind in bladder inhibited urination dysuria stranguryturbidity and vaginal discharge summerheatdamp diarrhea bloody urine hematuria spontaneous external bleeding swelling toxin of welling abscess and sore,not specified
h00115,herba plantaginis,allgrass of rippleseed plantain,che qian cao,,cold sweet,to remove heat and to induce diureses to promote expectoration to reduce heat in blood and to counteract toxicity,treatment of edema with oliguria urinary infection with difficult painful urination diarrhea caused by summerdamp cough caused by phlegmheat spitting of blood epistaxis carbuncles and sores,diuretic dampness excreting drugs
h00116,semen plantaginis,seed of asiatic pantain,che qian zi,,cold sweet,to remove heat to cause diuresis and eliminate damp to relieve dysuria to clear the eye and to promote expectoration,1 diuretic 2 expectorant and antitussive,diuretic dampness excreting drugs
h00117,dodonaea viscosa,clammy hopseedbush leaf,che sang zi ye,,not specified,to clear heat and percolate damp disperse swelling and resolve toxin,dribbling urination dribbling urinary block shoulder swelling clove boil swelling pain in perineum burns and scalds,not specified
h00118,herba artemisiae scopariae,capillaris oriental wormwood,chen hao,,minor cold bitter,treatment of jaundice,treatment of jaundice,for promoting diuresis and penetrating dampness
h00119,pericarpium citri reticulatae,dried tangerine peel,chen pi,,warm pungent bitter,to regulate the flow of qi to invigorate the spleen function to eliminate damp and to resolve phlegm,treatment of distension and fullness sensation in the chest and epigastrium with anorexia vomiting and diarrhea cough with copious phlegm,qi regulating drugs
h00120,lignum aquilariae resitum,oily wood of agalloch eaglewood,chen xiang,,warm pungent bitter,to promote the flow of qi and relieve pain to arrest vomiting by warming the stomach and to relieve asthma,cold pain in stomach duct and abdomen qi counterflow with asthma stomach cold with retching counterflow vacuity cold in lumbus and knees vacuity constipation qi strangury,qi regulating drugs
h00121,eupatorium lindleyanum,lindley eupatorium,cheng gan sheng ma,,not specified,to clear lung and relieve cough transform phlegm and calm asthma lower blood pressure,bronchitis cough and asthma with abundant phlegm hypertension,not specified
h00122,tamarix chinensis,chinese tamarisk equivalent plant tamarix ramosissima,cheng liu,,pungent neutral,to course wind and resolve exterior disinhibit urine and resolve toxin,noneruption of measles wind papule itching common cold cough and asthma winddamp bone pain,for relieving exterior syndrome
h00123,corydalis remota syn corydalis bulbosa var typica ,toothedpetal corydalis,chi ban yan hu suo,,not specified,to quicken blood and dissipate stasis move qi and relieve pain,pain in lumbus and knees pain in heart and abdomen dysmenorrhea postpartum stasis stagnation abdominal pain painful swelling from knocks and falls,not specified
h00124,gymnema sylvestre,australian cowplant,chi geng teng,,not specified,to dispel wind and relieve pain resolve toxin and disperse swelling,winddamp impediment pain swelling pain in throat scrofula mammary welling abscess sore and boil eczema innominate toxin swelling poisonous snake bite,not specified
h00125,syzygium buxifolium,boxleaf syzygium,chi nan,,not specified,to boost kidney and settle asthma fortify spleen and disinhibit damp expel wind and quicken blood resolve toxin and disperse swelling,edema asthma stranguryturbidity urethral stone dysentery hepatitis prolapse of uterus winddamp pain testitis hemorrhoids swollen welling abscess burns and scalds painful swelling from knocks and falls,not specified
h00126,radix paeoniae rubra,red peony root,chi shao,,minor cold bitter,to remove heat from blood to eliminate blood stasis and to relieve pain,1 paeoniflorin one of its active components has a strong antispastic effect and also analgesic sedative anticonvulsive antibacterial and antiimflammatory effects 2 dilating blood vessels increasing coronary flow and improving myocardial oxygen supply 3 inhibiting platelets aggregation,heat clearing blood cooling drugs
h00127,semen phaseoli,rice bean,chi xiao dou,,mild sweet sour,to cause diuresis to counteract toxicity and to promote the drainage of pus,decoction inhibits the growth of staphylococcus aureus shigella flexneri and bacillus typhoid in vitro,diuretic dampness excreting drugs
h00128,not specified,fructus pyracanthae fortuneanae,chi yang zi,,not specified,not specified,not specified,not specified
