fhdi_food_id,food_name,scientific_name,common_name,description,group,subgroup,drug_homologous_food
f00029,oat,avena sativa,not specified,the common oat avena sativa is a species of cereal grain grown for its seed which is known by the same name usually in the plural unlike other grains while oats are suitable for human consumption as oatmeal and rolled oats one of the most common uses is as livestock feed,cereals and cereal products,cereals,not specified
f00030,black tea,not specified,not specified,black tea is a type of tea that is more oxidized than oolong green and white teasblack tea is generally stronger in flavour than other teasit is made from leaves of the shrub or small tree camellia sinensis,beverages,teas,not specified
f00031,roselle,hibiscus sabdariffa,not specified,the roselle hibiscus sabdariffa is a species of hibiscus native to the west africa used for the production of bast fibre and as an infusion,beverages,flower tea,not specified
f00032,shiitake,lentinus edodes,not specified,the shiitake lentinula edodes is an edible mushroom native to east asia which is cultivated and consumed in many asian countries it is a feature of many asian cuisines it is also considered a medicinal mushroom in some forms of traditional medicine,vegetables,mushrooms,lentinus edodes are also famous medicinal mushrooms in china chinese medical scholars throughout history have written about the medicinal properties and functions of shiitake mushrooms
f00033,ginger,zingiber officinale,not specified,ginger or ginger root is the rhizome of the plant zingiber officinale consumed as a delicacy medicine or spice it lends its name to its genus and family other notable members of this plant family are turmeric cardamom and galangal,spices,spices,the rhizome is used for medicine and fresh or dry products can be used as cooking ingredients or made into pickled vegetables and ginger aromatic oils can be extracted from stems leaves and rhizomes and used in food beverage and cosmetic flavorings
f00034,bitter gourd,momordica charantia,not specified,momordica charantia often called bitter melon bitter gourd or bitter squash in english has many other local names it is a tropical and subtropical vine of the family cucurbitaceae widely grown in asia africa and the caribbean for its edible fruit which is among the most bitter of all fruits,gourds,gourds,not specified
f00035,garden cress,lepidium sativum,not specified,cress lepidium sativum sometimes referred to as garden cress to distinguish it from similar plants also referred to as cress garden cress is a rather fastgrowing edible herb garden cress is genetically related to watercress and mustard sharing their peppery tangy flavor and aroma,vegetables,leaf vegetables,not specified
f00036,areca catechu,not specified,not specified,not specified,nuts,nuts,not specified
f00037,sour orange,citrus aurantium,not specified,sour orange bigarade orangebitter orange seville orange or marmalade orange is the citrus tree citrus  aurantium and its fruit it is native to southeast asia and has been spread by humans to many parts of the world,fruits,citrus,not specified
f00038,cinnamon,cinnamomum,not specified,cinnamon is a spice obtained from the inner bark of several trees from the genus cinnamomum that is used in both sweet and savoury foods while cinnamomum verum is sometimes considered to be true cinnamon most cinnamon in international commerce is derived from related species which are also referred to as cassia to distinguish them from true cinnamon,spices,spices,cinnamon has a high economic value cinnamon powder is usually used to bake bread dim sum and pickle meat in western countries cinnamon oil can be extracted from various parts of cinnamon which can be used as cosmetics raw materials as well as chocolate and cigarette ingredients
f00039,anise,pimpinella anisum,not specified,anise pimpinella anisum also called aniseed is a flowering plant in the family apiaceae native to the eastern mediterranean region and southwest asia its flavor has similarities with some other spices such as star anise fennel and liquorice,vegetables,stalk vegetables,the skin seeds and leaves all contain aromatic oil known as star anise oil also known as anise oil which is an important raw material in the manufacturing of cosmetics sweet wine beer and food industries
f00040,papaya,carica papaya,not specified,the papaya papaw or pawpaw is the fruit of the plant carica papaya the sole species in the genus carica of the plant family caricaceae,fruits,tropical fruits,papaya along with bananas and pineapples is known as the three major tropical herbaceous fruit trees its fruits are rich in nutrients including amino acids vitamins and trace elements the meat is fragrant sweet and juicy papaya can also be used for processing including canned fruits preserved fruits dried fruits etc
f00041,olive,olea europaea,not specified,the olive is the fruit of the olive tree olea europaea meaning oil fromof europe it is an important food crop in countries around the mediterranean sea and places with a mediterranean climate the olive is of major agricultural importance in the mediterranean region as the source of olive oil it is one of the three core ingredients in mediterranean cuisine,vegetables,fruit vegetables,not specified
f00042,rosemary,rosmarinus officinalis,not specified,rosmarinus officinalis commonly known as rosemary is a woody perennial herb with fragrant evergreen needlelike leaves and white pink purple or blue flowers native to the mediterranean region it is a member of the mint family lamiaceae which includes many other herbs,spices,spices,not specified
f00043,jujube,ziziphus jujuba,not specified,ziziphus jujuba commonly called jujube sometimes jujuba red date chinese date korean date or indian date is a species of ziziphus in the buckthorn family rhamnaceae used primarily as a shade tree that also bears fruit,fruits,other fruits,there are many beverages and foods processed with sour dates such as sour date cake sour date juice sour date powder sour date wine etc
f00044,kale,brassica napus var pabularia,not specified,kale or borecole is a form of cabbage with green or purple leaves in which the central leaves do not form a head it is considered to be closer to wild cabbage than most domesticated forms the species brassica oleracea contains a wide array of vegetables including broccoli cauliflower collard greens and brussels sprouts,vegetables,cabbages,not specified
f00045,maitake,grifola frondosa,not specified,grifola frondosa is a polypore mushroom that grows in clusters at the base of trees particularly oaks the mushroom is commonly known among english speakers as henofthewoods rams head and sheeps head in the united states supplement market as well as in asian grocery stores the mushroom is known by its japanese name maitake which means dancing mushroom,vegetables,mushrooms,maitake is a fungus used in both food and medicine it often grows wild around chestnut trees in summer and autumn its nutrition has good health function and high medicinal value in recent years as a kind of health food popular in japan singapore and other markets
f00046,honey,not specified,not specified,honey is a sweet food made by bees using nectar from flowers the variety produced by honey bees is the one most commonly referred to as it is the type of honey collected by beekeepers and consumed by humans honey produced by other bees and insects has distinctly different properties honey bees transform nectar into honey by a process of regurgitation and evaporation,confectioneries,other confectioneries,honey is extremely nutritious in pure natural foods with over 180 essential nutrients for the human body
f00047,pepper capsicum annuum,capsicum annuum,chili pepper,capsicum annuum is a domesticated species of the plant genus capsicum native to southern north america and northern south america the three species c annuum c frutescens and c chinense all evolved from a single common ancestor located somewhere in the northwest brazil  colombia area capsicum annuum is the most common and extensively cultivated of the five domesticated capsicums,vegetables,fruit vegetables,capsicum annuum can be used as both fresh vegetables and seasoning and dried chili peppers and chili powder are important export products in china
f00048,soy bean,glycine max,not specified,the soybean us or soya bean uk glycine max is a species of legume native to east asia widely grown for its edible bean which has numerous uses the plant is classed as an oilseed rather than a pulse by the un food and agricultural organization fao,soy,soy,not specified
f00049,bayberry,myrica,not specified,myrica is a genus of about 3550 species of small trees and shrubs in the family myricaceae order fagales the genus has a wide distribution including africa asia europe north america and south america and missing only from australia,fruits,berries,not specified
f00050,garden onion,allium cepa,not specified,the onion allium cepa latin cepa  onion also known as the bulb onion or common onion is used as a vegetable and is the most widely cultivated species of the genus allium,vegetables,onionfamily vegetables,not specified
f00051,soy milk,not specified,not specified,soy milk is a beverage made from soybeans a stable emulsion of oil water and protein it is produced by soaking dry soybeans and grinding them with water,soy,soy products,not specified
f00052,miso,not specified,not specified,miso is a traditional japanese seasoning produced by fermenting rice barley andor soybeans with salt the most typical miso being made with soy,soy,soy products,not specified
f00053,bilberry,vaccinium myrtillus,not specified,bilberry is any of several species of lowgrowing shrubs in the genus vaccinium bearing edible berries the species most often referred to is vaccinium myrtillus l  but there are several other closely related species,fruits,berries,not specified
f00054,tofu,not specified,not specified,tofu is a food made by coagulating soy milk and then pressing the resulting curds into soft white blocks it is part of east asian and southeast asian cuisine such as chinese japanese korean indonesian vietnamese and others there are many different varieties of tofu including fresh tofu and tofu that has been processed in some way,soy,soy products,not specified
f00055,soy sauce,not specified,not specified,soy sauce also called soya sauce is a condiment produced by fermenting soybeans with aspergillus oryzae or aspergillus sojae molds along with water and salt after the fermentation which yields fermented soybean paste the paste is pressed and two substances are obtained a liquid which is the soy sauce and a cake of wheat and soy residue the latter being usually reused as animal feed soy sauce is a traditional ingredient in east and southeast asian cuisines where it is used in cooking and as a condiment,soy,soy products,not specified
f00056,fava bean,vicia faba,not specified,vicia faba also known as the broad bean fava bean faba bean field bean bell bean or tic bean is a species of bean fabaceae native to north africa southwest and south asia and extensively cultivated elsewhere,pulses,beans,not specified
