fhdi_drug_id,drug_name,synonyms,drug_type,summary,formula
d00011,niacin,niacin tn niacinamide tn nicotinamide tn,small molecular drug,niacin is a b vitamin used to treat hypertriglyceridemia and pellagra,c6h5no2
d00012,pyrazinamide,aldinamid aldinamide braccopiral corsazinmid dipimide eprazin farmizina isopas lynamide novamid pezetamid pharozinamide piraldina pirazimida pirazinamid pirazinamida pirazinamide prazina pyrafat pyramide pyrazide pyrazinamdie pyrazinamidum pyrazineamide pyrazinecarboxamide rozide tebrazid tebrazio tisamid unipyranamide zinamide zinastat p ezetamid pirazinamide dcit pyrazine carboxamide pyrazine carboxylamide pyrazinecarboxylic acid amide pyrazinoic acid am ide pyrazinoic acid amide drg 0124 mk 56 p 7136 pyrazinamide bp 2000 t 165 azt  pyrazinamide combination d50 pirazinamida innspanish pmspyrazinamide pyrazinamide tn pyrazinamidum innlatin d50 van pyrazinamide innbanjan pyrazine2carboxamide pyrazinamide jp15uspinn pyrazinoic acid amide pezetamid pyrafat zinamide tebrazid pyrafat pyrazinamide 2carbamylpyrazine 2carbamyl pyrazine,small molecular drug,pyrazinamide is an antituberculosis agent used as a component of tuberculosis tb treatment,c5h5n3o
d00013,pyridoxine,aderoxin alestrol becilan beesix benadon bonasanit godabion hexavibex hexermin hexermine hexobion nestrex paxadon pydox pyridipca pyridox spondylonal vitaped adermin hydrochloride adermine hydrochloride aderomine hydrochloride component of alestrol hexabione hydrochloride pn hcl pyridoxine hydrochloride pyridoxin hydrochloride pyridoxine hcl pyridoxine chloride pyridoxine hydrogen chloride pyridoxine monohydrochloride pyridoxinium chloride pyridoxinum hydrochloricum pyridoxol hydrochloride rodex td aids006784 campoviton 6 vitamin v6 aids006784 cernevit12 pyridoxine inn pyridoxine hydrochloride b6 pyridoxine hydrochlorideusanjan pyridoxine hydrochloride pyridoxinehcl microencapsulated pyridoxinum hydrochloricum hungarian pyridoxol hydrochloride rodex r vitamin b6hydrochloride vitamin v6 tn vitaminb6 hydrochloride hexabetalin r hexabetalin tn pyridoxine hydrochloride jp15usp tex six tr pyridoxine hydrochloride usp 5hydroxy46dimethylpyridin3ylmethyl phosphate 2methyl3hydroxy45bishydroxymethylpyridine 2methyl3hydroxy45dihydroxymethylpyridine 2methyl3hydroxy45dihydroxymethylpyridin 2methyl3hydroxy45dihydroxymethylpyridin german 2methyl45bishydroxymethyl3hydroxypyridine 2methyl3hydroxy45bishydroxymethyl pyridine 2methyl3hydroxy45dihydroxymethylpyridine 2methyl45dimethylolpyridin3ol 34pyridinedimethanol 5hydroxy6methyl hydrochloride 3hydroxy45dihydroxymethyl2methylpyridine hydrochloride 3hydroxy45dimethylolalphapicoline hydrochloride 3hydroxy45dimethylolalphapicoline hydrochloride 45bishydroxymethyl2methyl3pyridinol 45bishydroxymethyl2methylpyridin3ol hydrochloride 45bishydroxymethyl2methyl3pyridinol hydrochloride 45bishydroxymethyl2methylpyridine3ol 4deoxypyridoxine 5phosphate 5hydroxy6methyl34pyridinedicarbinol hydrochloride 5hydroxy6methyl34pyridinedimethanol hydrochloride 5hydroxy6methyl34pyridinedimethanol hydrochloride,small molecular drug,pyridoxine is a vitamin used to correct vitamin b6 deficiency and to treat nausea during pregnancy,c8h11no3
d00014,pleconaril,picovir pleconaril  prop inn sr263843 sr63843 vp63843 win63843 335dimethyl433methylisoxazol5ylpropoxyphenyl5trifluoromethyl124oxadiazole,small molecular drug,pleconaril is an antiviral drug from viral capsid inhibitor class manufactured by scheringplough and intended for the prevention of acute asthma exacerbations and common cold symptoms in asthmatic patients who have had exposure to picornavirus,c18h18f3n3o3
d00015,dalfampridine,ampyra tn,small molecular drug,dalfampridine is a potassium channel blocker used for the improvement of motor function in patients with multiple sclerosis ms,c5h6n2
d00016,phenytoin,aleviatin antisacer auranile causoin citrullamon citrulliamon comital comitoina convul danten dantinal dantoinal dantoine denyl difenilhidantoina difenin difetoin difhydan dihycon dihydantoin dilabid dilantin dilantine dillantin dintoin dintoina diphantoin diphedal diphedan diphenat diphenin diphenine diphentoin diphentyn diphenylan diphenylhydantoin diphenylhydantoine diphenylhydatanoin ditoinate ekko elepsindon enkelfel epamin epanutin epelin epifenyl epihydan epilantin epinat epised eptal eptoin fenitoin fenitoina fentoin fenylepsin fenytoine hidan hidantal hidantilo hidantina hidantomin hindatal hydantal hydantin hydantoinal hydantol idantoil idantoin iphenylhydantoin kessodanten labopal lehydan lepitoin lepsin minetoin neosidantoina novantoina novophenytoin oxylan phenytek phanantin phanatine phenatine phenatoine phenhydan phenhydanin phenitoin phentoin phentytoin phenytex phenytoine phenytoinum ritmenal saceril sanepil silantin sinergina sodanthon sodantoin sodanton solantin solantoin solantyl sylantoictoin tacosal thilophenyl zentronal zentropil component of mebroin dantoinal klinos difenilhidantoina spanish dihydan toin dilantin acid diphenylhydantoine french ekko capsules elepsi ndon epdantoin simple epdantoine simple epilan d extended phenytoin sodium fen toin fenantoin mn pharma fenidantoin s fenytoin dak hidantina senosian hidantina vitoria ictalis simp le ictalis simple om hidantoina simple phenat ine phenytoin awd sodium diphenylhydantoinate taco sal toin unicelles cl12003 d 4007 d4007sigma didan tdc 250 epasmir 5 iflab1000214 dilantin30 dph van dihydan dilan diphetine dilantin tn dilantin infatabs tn dilantin kapseals tn dilantin125 diphenylhydantoin van epanutin tn epasmir 5 epiland eptoin tn fenidantoin s fenitoina innspanish neoshidantoina omhydantoine phenytoin sodium extended phenytek tn phenytoin phn phenytoingerot phenytoine innfrench phenytoinum innlatin dilan van didantdc250 gerotepiland phenytoin 55diphenylhydantoin phenytoin jp15uspinn phenytoin usaninnbanjan hydantoin 55diphenyl8ci 24imidazolidinedione 55diphenyl9ci 2hydroxy55diphenyl35dihydro4himidazol4one 55diphenylhydantoin 55diphenyl24imidazolidinedione 55diphenylimidazolidine24dione 55diphenylhydantoin iupac 55diphenylhydantoin phenytoin 55diphenylimidazolidin24dione 55dwufenylohydantoina 55dwufenylohydantoina polish 55diphenylimidazolidine24dione,small molecular drug,phenytoin is an anticonvulsant drug used in the prophylaxis and control of various types of seizures,c15h12n2o2
d00017,tacrine,cognex romotal tacrina tacrinal tacrinum tenakrin tetrahydroaminacrine tetrahydroaminoacridine tetrahydroaminocrin tetrahydroaminocrine tha tacrine hydrochloride bbl001044 cs 12602 cognex tn tacrina innspanish tacrinal tn tacrine inn tacrine innban tacrinum innlatin 1234tetrahydro9acridinamine 1234tetrahydro9acridinamine see also 1684408 1234tetrahydro9acridineamine 1234tetrahydroacridin9ylamine 1234tetrahydroaminoacridine 1234tetrahydroacridin9amine 5amino6789tetrahydroacridine european 9aminotetrahydroacridine 9acridinamine 1234tetrahydro9ci 9amino1234tetrahydroacridine hydrate hydrochloride hydrate 9amino1234tetrahydroacridine,small molecular drug,tacrine is an anticholinesterase drug used for the management of alzheimers disease symptoms,c13h14n2
d00018,acebutolol,acebrutololum acebutololo acebutololum acetobutolol neptal prent sectral acebutolol hcl rp 21823 acebrutololum innlatin acebutololum innlatin acetobutolol innspanish dlacebutolol m  b 17803a prent tn sectral tn acebutolol usaninn acebutolol usaninnban mb17803 a n3acetyl42hydroxy3isopropylaminopropoxyphenylbutanamide n3acetyl42hydroxy31methylethylaminopropoxyphenylbutanamide n3acetyl42hydroxy3propan2ylaminopropoxyphenylbutanamide n3acetyl42hydroxy3propan2ylaminopropoxyphenylbutanamide 3acetyl42hydroxy3isopropylaminopropoxybutyranilide acebutolol n3acetyl42hydroxy31methylethylaminopropoxyphenylbutanamide 12acetyl4nbutyramidophenoxy2hydroxy3isopropylaminopropane 3acetyl42hydroxy3isopropylaminopropoxybutyranilide 3acetyl42hydroxy3isopropylaminopropoxybutyranilide 3acetyl42hydroxy3isopropylaminopropoxybutyranilid 5butyramido22hydroxy3isopropylaminopropoxyacetophenone,small molecular drug,acebutolol is a selective 1receptor antagonist used for the management of hypertension and ventricular premature beats in adults,c18h28n2o4
d00019,acetaminophen,acetaminophen 4acetamidophenol paracetamol 103902 tylenol n4hydroxyphenylacetamide apap acetaminofen panadol datril phydroxyacetanilide nacetylpaminophenol pacetamidophenol algotropyl naprinol lonarid 4hydroxyacetanilide multin acenol acamol anelix pacetaminophenol liquagesic acetagesic gelocatil servigesic acetalgin abensanil pyrinazine injectapap clixodyne valgesic tussapap finimal paracet homoolan febrolin febrilix febridol dymadon anaflon apamide valadol tralgon tabalgin lestemp alvedon abenol abrol abrolet acephen acertol acetaco acetamol acetavance acetofen actamin actimol afebrin afebryl aferadol algesidal algina algomol alpiny alpinyl amadil aminofen analter anapap andox anhiba antidol anuphen apacet apadon apitrelal arfen arthralgen asetam asomal aspac asplin atasol atralidon babikan bacetamol banesin benmyo biocetamol cadafen calapol calmanticold calonal calpol capital captin causalon cefalex cetadol codabrol codalgin codapane codicet codisal codoliprane cofamol conacetol cosutone cuponol curadon curpol custodial dafalgan darocet darvocet daygrip deminofen democyl demogripal desfebre dhamol dimindol dirox disprol dolcor dolefin dolegrippin dolgesic doliprane dolko dolofugin doloreduct dolorfug dolorstop dolotec dolprone dorocoff dresan dristancito duaneo dularin duorol duracetamol durapan dypap ecosetol elixodyne empracet enelfa eneril excipain exdol fanalgic farmadol febranine febrectal febrectol febrex febricet febrin febrinol fendon fensum fepanil fevor finiweh fluparmol geluprane genapap genebs grippostad gynospasmine hedex ildamol inalgex infadrops janupap kataprin korum labamol lekadol lemgrip lemsip liqiprine lupocet lyteca magnidol malgis malidens maxadol medocodene mexalen minafen minoset miralgin momentum nebs napafen nealgyl neocitran neodol neodolito neopap neotrend neuridon nilnocen nina nobedon nodolex noral ofirmev oltyl oralgan ortensan oxycocet paceco pacemo pacemol pacet pacimol paedialgon paedol painex paldesic pamol panacete panadeine panadiene panaleve panamax panasorb panasorbe panets panex panodil panofen pantalgin paracemol paracenol paracetamole paracetamolo paracetanol paracetol paracin paracod paracodol parador paradrops parakapton parake paralen paralief paralink paralyoc paramol paramolan paranox parapan parasedol parasin paraspen parcetol parelan parmol parogal paroma pasolind pediapirin pediatrix pedric perfalgan phendon phenipirin phogoglandin pinex piramin pirinasol plicet polmofen predimol predualito prodol prompt prontina puernol pulmofen pyrigesic pyromed redutemp reliv remedol rivalgyl robigesic rounox rubiemol rubophen rupemol salzone sanicet sanicopyrine scanol scentalgyl schmerzex sedalito semolacin seskamol setakop setamol setol sifenol sinaspril sinedol sinmol stanback stopain sunetheton supofen suppap tyl tachiprina tapanol tapar tazamol temlo tempanal tempra termacet termalgin termalgine termofren tiffy titralgan treuphadol tricoton tylex tylol tymol upsanol utragin valorin veralgina vermidon verpol vips viruflu vivimed volpan zatinol zolben aceta elixir actifed plus aspirin free anacin bayer select d oliprane dymadon co fortalidon p gattaphen t gripin bebe helon n influbene n jin gang lonarid mono lyteca syrup malex n panadeine co panale ve pasolind n spalt n supadol mono toximer p treupel n treupel mon ty lenol tylex cd anacin 3 aper accutap ultracet,small molecular drug,acetaminophen is an analgesic drug used alone or in combination with opioids for pain management and as an antipyretic agent,c8h9no2
d00020,acetazolamide,acetadiazol acetamidothiadiazolesulfonamide acetamox acetazolam acetazolamid acetazolamida acetazolamidum acetazolamine acetazoleamide acetozalamide akzol apoacetazolamide atenezol cidamex dazamide defiltran dehydratin diacarb diakarb diamox didoc diluran diuramid diuramide diuriwas diutazol donmox duiramid edemox eumicton fonurit glauconox glaumox glaupax glupax humazolamide natrionex nephramid nephramide phonurit storzolamide vetamox acetazolamide apotex brand acetazolamide chiesi brand acetazolamide dioptic brand acetazolamide grin brand acetazolamide icn brand acetazolamide jumer brand acetazolamide llorens brand acetazolamide medphano brand acetazolamide novopharm brand acetazolamide orion brand acetazolamide wassermann brand ak zol apo acetazolamide apotex brand of acetazolamide chiesi brand of acetazolamide ciba vision brand of acetazolamide diamoxsequels dioptic brand of acetazolamide grin brand of acetazolamide huma zolamide icn brand of acetazolamide jumer brand of acetazolamide llorens brand of acetazolamide medphano brand of acetazolamide monosodium salt acetazolamide novopharm brand of acetazolamide orion brand of acetazolamide storz brand of acetazolamide preparation wassermann brand of acetazolamide wyeth brand of acetazolamide preparation a 6011 carbonic anhydrase inhibitor 6063 acetazolamida innspanish acetazolamide aaz acetazolamide monosodium salt acetazolamidum innlatin akzol apoacetazolamide carbonic anhydrase inhibitor no 6063 diamox tn diureticumholzinger humazolamide skacetazolamide acetazolamide sodium sterile acetazolamide innbanjan acetazolamide jp15uspinn 4diamox,small molecular drug,acetazolamide is a carbonic anhydrase inhibitor used to treat edema from heart failure or medications certain types of epilepsy and glaucoma,c4h6n4o3s2
