indication,state,fhdi_drug_id
colon cancer icd11 2b90z,withdrawn from market,d00514
obesity icd11 5b81,withdrawn from market,d00515
allergic rhinitis icd11 ca080,approved,d00516
autoimmune diabetes icd11 5a10,phase 2,d00517
bacterial infection icd11 1a001c4z,approved,d00519
hydrocephalus icd11 8d64,approved,d00520
amoebiasis icd11 1a36,approved,d00521
menorrhagia icd11 ga2050,approved,d00522
breast cancer icd11 2c602c65,phase 2,d00522
obesity icd11 5b81,approved,d00525
opioid dependence icd11 6c432z,approved,d00526
heroin and opiate withdrawal icd11 6c43,approved,d00526
parkinson disease icd11 8a000,approved,d00527
cerebral saltwasting syndrome icd11 5c72,approved,d00528
primary biliary cirrhosis icd11 db961,approved,d00529
chagas disease icd11 if53,approved,d00530
trypanosomiasis icd11 1d511f53,approved,d00530
solid tumourcancer icd11 2a002f9z,approved,d00531
hepatocellular carcinoma icd11 2c1202,phase 3,d00531
breast cancer icd11 2c602c65,phase 2,d00531
tumour icd11 2a002f9z,investigative,d00531
bacterial infection icd11 1a001c4z,approved,d00532
bacterial infection icd11 1a001c4z,approved,d00533
pain icd11 mg30mg3z,approved,d00534
epilepsy icd11 8a608a68,approved,d00535
parkinson disease icd11 8a000,approved,d00537
hepatic fibrosis icd11 db930,approved,d00538
cerebrovascular ischaemia icd11 8b1z,phase 4,d00538
major depressive disorder icd11 6a703,withdrawn from market,d00539
human immunodeficiency virus infection icd11 1c62,approved,d00540
virus infection icd11 1a241d9z,investigative,d00540
bacterial infection icd11 1a001c4z,approved,d00541
solid tumourcancer icd11 2a002f9z,approved,d00543
malaria icd11 1f401f45,approved,d00544
hepatitis c virus infection icd11 1e511,approved,d00545
painful bladder syndrome icd11 mg3050,approved,d00546
interstitial cystitis icd11 gc003,approved,d00546
bacterial infection icd11 1a001c4z,approved,d00547
hypertension icd11 ba00ba04,approved,d00548
hyperlipidaemia icd11 5c80,approved,d00549
high blood pressure icd11 ba00,approved,d00550
hypertension icd11 ba00ba04,approved,d00551
ankylosing spondylitis icd11 fa920,approved,d00552
idiopathic pulmonary fibrosis icd11 cb034,approved,d00553
irritable bowel syndrome icd11 dd910,phase 3,d00554
acute lymphoblastic leukaemia icd11 2a85,approved,d00555
diarrhea icd11 me051,approved,d00556
analgesia icd11 mb408,approved,d00557
diabetic complication icd11 5a2y,approved,d00558
cardiovascular disease icd11 ba00be2z,phase 3,d00558
depression icd11 6a706a7z,approved,d00560
hypertension icd11 ba00ba04,approved,d00561
bacterial infection icd11 1a001c4z,approved,d00562
parkinson disease icd11 8a000,approved,d00564
bacterial infection icd11 1a001c4z,approved,d00565
helminth infection icd11 1f900,approved,d00566
bacterial infection icd11 1a001c4z,approved,d00567
anaesthesia icd11 9a786,approved,d00568
type 1 gaucher disease icd11 5c560y,approved,d00569
bacterial infection icd11 1a001c4z,approved,d00570
hypercholesterolaemia icd11 5c800,approved,d00571
cardiovascular disease icd11 ba00be2z,phase 3,d00571
hypercholesterolaemia icd11 5c800,approved,d00572
inflammatory bowel disease icd11 dd72,approved,d00573
hypercholesterolaemia icd11 5c800,approved,d00574
hyperprolactinaemia icd11 5a601,approved,d00575
attention deficit hyperactivity disorder icd11 6a05z,approved,d00576
hypertension icd11 ba00ba04,approved,d00577
hypertension icd11 ba00ba04,approved,d00577
hypertension icd11 ba00ba04,approved,d01378
hypertension icd11 ba00ba04,approved,d01378
cushing disease icd11 5a70,approved,d00578
fungal infection icd11 1f291f2f,approved,d00579
hypertension icd11 ba00ba04,approved,d00580
congestive heart failure icd11 bd10,approved,d00581
epilepsy icd11 8a608a68,approved,d00582
chronicstable angina icd11 ba401,approved,d00583
paroxysmal atrial fibrillation icd11 bc8130,phase 2,d00583
benign prostatic hyperplasia icd11 ga90,approved,d00584
skin cancer icd11 2c302c37,approved,d00585
hormonallyresponsive breast cancer icd11 2c602c65,approved,d00586
bacterial infection icd11 1a001c4z,approved,d00587
asthma icd11 ca23,approved,d00588
thrombosis icd11 db61gb90,approved,d00589
thrombosis icd11 db61gb90,approved,d00589
epilepsy icd11 8a608a68,approved,d00590
anxiety disorder icd11 6b006b0z,phase 2,d00590
ovarian cancer icd11 2c73,approved,d00591
solid tumourcancer icd11 2a002f9z,approved,d00591
smallcell lung cancer icd11 2c25y,phase 1,d00591
rheumatoid arthritis icd11 fa20,phase 3,d00592
postoperative inflammation icd11 1a00ca431,approved,d00593
inflammation icd11 1a00ca431,withdrawn from market,d00593
solid tumourcancer icd11 2a002f9z,approved,d00594
schizophrenia icd11 6a20,approved,d00595
erythropoietic porphyrias icd11 5c5812,approved,d00595
major depressive disorder icd11 6a703,phase 3,d00595
bipolar disorder icd11 6a60,application submitted,d00595
anaesthesia icd11 9a786,approved,d00596
cardiovascular disease icd11 ba00be2z,approved,d00597
chronic hbv infection icd11 1e510z,approved,d00598
human immunodeficiency virus infection icd11 1c62,approved,d00598
human immunodeficiency virus1 infection icd11 1c62,approved,d00598
depression icd11 6a706a7z,approved,d00599
colorectal cancer icd11 2b91z,approved,d00600
hypertension icd11 ba00ba04,approved,d00601
osteoporosis icd11 fb830,approved,d00602
schizophrenia icd11 6a20,approved,d00603
migraine icd11 8a80,approved,d00604
hepatitis b virus infection icd11 1e510,approved,d00605
human immunodeficiency virus infection icd11 1c62,approved,d00606
hepatitis virus infection icd11 1e501e51,approved,d00606
hepatitis b virus infection icd11 1e510,phase 3,d00606
osteoporosis icd11 fb830,approved,d00607
osteoporosis icd11 fb830,approved,d01379
colorectal cancer icd11 2b91z,approved,d00608
breast cancer icd11 2c602c65,phase 3,d00608
paroxysmal supraventricular tachycardia icd11 bc81z,approved,d00609
chronic kidney disease icd11 gb61,approved,d00610
primary hypercholesterolemia icd11 5c8000,approved,d00612
schizophrenia icd11 6a20,approved,d00613
bacterial infection icd11 1a001c4z,approved,d00614
human immunodeficiency virus infection icd11 1c62,approved,d00615
cardiovascular disease icd11 ba00be2z,approved,d00617
cardiovascular disease icd11 ba00be2z,approved,d00617
cardiovascular disease icd11 ba00be2z,approved,d01380
cardiovascular disease icd11 ba00be2z,approved,d01380
human immunodeficiency virus infection icd11 1c62,approved,d00618
influenza virus infection icd11 1e301e32,approved,d00619
hypogonadism icd11 5a610,approved,d00620
depression icd11 6a706a7z,approved,d00621
hypertension icd11 ba00ba04,approved,d00622
allergic rhinitis icd11 ca080,approved,d00623
diabetic complication icd11 5a2y,approved,d00624
hypertension icd11 ba00ba04,approved,d00625
obesity icd11 5b81,withdrawn from market,d00626
depression icd11 6a706a7z,approved,d00627
crohn disease icd11 dd70,approved,d00628
hypertension icd11 ba00ba04,approved,d00629
trypanosomiasis icd11 1d511f53,phase 23,d00631
major depressive disorder icd11 6a703,approved,d00633
contraception icd11 qa21,approved,d00634
malaria icd11 1f401f45,approved,d00635
longchain fatty acid oxidation disorder icd11 bc4310,approved,d00637
genetic epileptic syndromes with variable age of onset icd11 8a614y,phase 3,d00637
alcohol dependence icd11 6c402,approved,d00638
hypertension icd11 ba00ba04,approved,d00639
sinus rhythm disorder icd11 bc9y,approved,d00640
premature ejaculation icd11 ha030z,phase 4,d00641
schizophrenia icd11 6a20,approved,d00642
invasive aspergillosis icd11 1f200,approved,d00645
inflammation icd11 1a00ca431,approved,d00646
bacterial vaginosis icd11 mf3a,approved,d00647
amoebiasis icd11 1a36,approved,d00647
chronic bronchitis icd11 ca201,approved,d00649
bacterial infection icd11 1a001c4z,withdrawn from market,d00649
fungal infection icd11 1f291f2f,approved,d00650
alzheimer disease icd11 8a20,approved,d00651
migraine icd11 8a80,approved,d00652
migraine icd11 8a80,approved,d00653
cutaneous tcell lymphoma icd11 2b01,approved,d00654
bacterial infection icd11 1a001c4z,approved,d00656
nicotine dependence icd11 6c4a2,approved,d00658
tobacco dependence icd11 6c4a2,clinical trial,d00658
hypertension icd11 ba00ba04,approved,d00659
diabetic complication icd11 5a2y icd9 2535 5881,approved,d00660
thrombosis icd11 db61gb90,approved,d00661
human immunodeficiency virus infection icd11 1c62,approved,d00662
neurogenic orthostatic hypotension icd11 8d870y,approved,d00664
bacterial infection icd11 1a001c4z,approved,d00665
pulmonary arterial hypertension icd11 bb010,approved,d00666
hypertension icd11 ba00ba04,approved,d00667
primary progressive multiple sclerosis icd11 8a401,approved,d00668
solid tumourcancer icd11 2a002f9z,approved,d00669
ovarian cancer icd11 2c73,phase 3,d00669
erectile dysfunction icd11 ha011,approved,d00671
urinary tract infection icd11 gc08,approved,d00672
schizophrenia icd11 6a20,approved,d00673
hereditary tyrosinemia type 1 icd11 5c5011,approved,d00674
plasmodium vivax malaria icd11 1f41,approved,d00675
malaria icd11 1f401f45,approved,d00675
acute lymphoblastic leukaemia icd11 2a85,approved,d00676
myelodysplastic syndrome icd11 2a37,approved,d00676
parkinson disease icd11 8a000,approved,d00677
osteoarthritis icd11 fa00fa05,approved,d00678
acute hyperammonaemia icd11 5c50a,approved,d00679
malaria icd11 1f401f45,approved,d00681
rheumatoid arthritis icd11 fa20,approved,d00683
allergic rhinitis icd11 ca080,approved,d00684
major depressive disorder icd11 6a703,approved,d00686
menopause symptom icd11 ga300,phase 3,d00686
schizophrenia icd11 6a20,phase 3,d00687
leukaemia icd11 2a602b33,approved,d00688
solid tumourcancer icd11 2a002f9z,phase 3,d00688
proliferative vitreoretinopathy icd11 9b782,phase 3,d00688
rheumatoid arthritis icd11 fa20,phase 1,d00688
prostate cancer icd11 2c820,investigative,d00688
benign prostatic hyperplasia icd11 ga90,approved,d00689
seizure disorder icd11 8a6z,approved,d00690
pediatric lennoxgastaut syndrome icd11 8a621,approved,d00690
epilepsy icd11 8a608a68,approved orphan drug,d00690
high blood pressure icd11 ba00,approved,d00691
human immunodeficiency virus infection icd11 1c62,approved,d00692
parkinson disease icd11 8a000,approved,d00693
idiopathic parkinson disease icd11 8a000z,phase 3,d00693
prostate cancer icd11 2c820,approved,d00694
angina pectoris icd11 ba40,approved,d00695
hyperuricaemia icd11 5c55y,approved,d00697
systemic sclerosis icd11 4a42,approved,d00698
major depressive disorder icd11 6a703,approved,d00699
solid tumourcancer icd11 2a002f9z,approved,d00700
human immunodeficiency virus infection icd11 1c62,approved,d00701
hutchinsongilford progeria syndrome icd11 ld2b,approved,d00702
myelodysplastic syndrome icd11 2a37,phase 3,d00702
hepatitis d virus infection icd11 1e512,phase 2,d00702
nonsmallcell lung cancer icd11 2c25y,discontinued in phase 3,d00702
bacterial infection icd11 1a001c4z,approved,d00703
hypercholesterolaemia icd11 5c800,approved,d00704
knee osteoarthritis icd11 fa01,approved,d00705
bacterial infection icd11 1a001c4z,approved,d00706
hypertension icd11 ba00ba04,approved,d00707
overactive bladder icd11 gc500,approved,d00708
osteopetrosis icd11 ld2410,approved,d00710
gastrointestinal disease icd11 de2z,approved,d00711
rheumatoid arthritis icd11 fa20,phase 2,d00712
thrombosis icd11 db61gb90,phase 3,d00713
myocardial infarction icd11 ba41ba43,phase 3,d00713
osteoarthritis icd11 fa00fa05,approved,d00714
pain icd11 mg30mg3z,phase 2,d00714
endometriosis icd11 ga10,investigative,d00714
hyperparathyroidism icd11 5a51,approved,d00715
kidney disease icd11 gc2z,phase 3,d00715
liver disease icd11 db90bd99,approved,d00716
chronic idiopathic constipation icd11 dc32,approved,d00717
hepatitis b virus infection icd11 1e510,approved,d00718
hypercholesterolaemia icd11 5c800,approved,d00719
allergic rhinitis icd11 ca080,approved,d00720
intestinal amebiasis icd11 1a36,approved,d00721
hypophosphatasia icd11 5c643,approved,d00722
irondeficiency anemia icd11 3a00,approved,d00723
onychomycosis icd11 ee121,phase 3,d00723
smoking dependence icd11 6c4a2,approved,d00724
organophosphate poisoning icd11 ne6z,approved,d00726
poison intoxication icd11 ne6z,phase 1,d00726
fabry disease icd11 5c5601,approved,d00727
nonsmallcell lung cancer icd11 2c25y,approved,d00728
pancreatic cancer icd11 2c10,phase 3,d00728
colon cancer icd11 2b90z,phase 2,d00728
depression icd11 6a706a7z,phase 3,d00730
duchenne dystrophy icd11 8c70,approved,d00733
chronic obstructive pulmonary disease icd11 ca22,approved,d00734
human immunodeficiency virus1 infection icd11 1c62,approved,d00735
angina pectoris icd11 ba40,approved,d00736
atrial fibrillation icd11 bc813,withdrawn from market,d00736
insomnia icd11 7a007a0z,approved,d00737
circadian rhythm sleep disorder icd11 7a607a65,terminated,d00737
breast cancer icd11 2c602c65,approved,d00738
human immunodeficiency virus infection icd11 1c62,approved,d00739
human immunodeficiency virus1 infection icd11 1c62,phase 3,d00739
stroke icd11 8b20,approved,d00741
hyponatraemia icd11 5c72,approved,d00743
heart failure icd11 bd10bd13,phase 3,d00743
renal cell carcinoma icd11 2c90,approved,d00744
hepatocellular carcinoma icd11 2c1202,phase 3,d00744
myelodysplastic syndrome icd11 2a37,phase 2,d00744
multiple myeloma icd11 2a83,approved,d00745
radionuclide imaging icd11 na,approved,d00746
convulsion icd11 8a68z,approved,d00747
epilepsy icd11 8a608a68,approved,d00747
diabetic neuropathy icd11 8c0z,phase 3,d00747
synthesis disorder icd11 5c525c59,approved,d00749
peroxisomal disorder icd11 5c57,approved,d00749
prostate cancer icd11 2c820,approved,d00750
multiple myeloma icd11 2a83,approved,d00751
mantle cell lymphoma icd11 2a855,approved,d00751
nonhodgkin lymphoma icd11 2b335,phase 3,d00751
human immunodeficiency virus infection icd11 1c62,approved,d00752
ovarian cancer icd11 2c73,approved,d00753
ringworm infection icd11 1f28,approved,d00754
heart failure icd11 bd10bd13,approved,d00755
arrhythmia icd11 bc9z,approved,d00755
congestive cardiac insufficiency icd11 bd1z,approved,d00755
human immunodeficiency virus infection icd11 1c62,approved,d00756
pain icd11 mg30mg3z,approved,d00757
human immunodeficiency virus infection icd11 1c62,approved,d00758
diabetic complication icd11 5a2y,approved,d00759
pheochromocytoma icd11 5a75,approved,d00761
bacterial infection icd11 1a001c4z,approved,d00762
bacterial infection icd11 1a001c4z,approved,d00763
heart failure icd11 bd10bd13,approved,d00765
overactive bladder icd11 gc500,approved,d00766
anabolic metabolism icd11 5c505c8z,approved,d00767
overactive bladder icd11 gc500,approved,d00768
acne vulgaris icd11 ed80,approved,d00769
acute promyelocytic leukaemia icd11 2a600,approved,d00769
organ transplant rejection icd11 ne84,approved,d00770
ocular allergy icd11 4a81,phase 3,d00770
hypercholesterolaemia icd11 5c800,approved,d00772
hyperlipidaemia icd11 5c80,approved,d00773
multiple myeloma icd11 2a83,phase 12,d00773
hypercholesterolaemia icd11 5c800,approved,d00774
elevated creactive protein icd11 ma1415,phase 3,d00774
hypercholesterolaemia icd11 5c800,approved,d00774
elevated creactive protein icd11 ma1415,phase 3,d00774
hypercholesterolaemia icd11 5c800,approved,d01381
elevated creactive protein icd11 ma1415,phase 3,d01381
hypercholesterolaemia icd11 5c800,approved,d01381
elevated creactive protein icd11 ma1415,phase 3,d01381
crohn disease icd11 dd70,approved,d00775
middle east respiratory syndrome mers icd11 1d64,investigative,d00775
coronavirus disease 2019 covid19 icd11 1d6y,investigative,d00775
acne vulgaris icd11 ed80,approved,d00776
bacterial infection icd11 1a001c4z,approved,d00777
primary biliary cholangitis icd11 db961,approved,d00779
insomnia icd11 7a007a0z,clinical trial,d00779
acromegaly icd11 5a600,approved,d00780
acute cardiac ischemic events icd11 ba40z,approved,d00781
kaposi sarcoma icd11 2b57,approved,d00782
asthma icd11 ca23,approved,d00783
type2 diabetes icd11 5a11,phase 1,d00783
chronic obstructive pulmonary disease icd11 ca22,withdrawn from market,d00783
atopic dermatitis icd11 ea80,discontinued in phase 2,d00783
myelodysplastic syndrome icd11 2a37,approved,d00784
tuberculosis icd11 1b101b14,approved,d00785
mycobacterium infection icd11 1b101b21,phase 3,d00785
fungal infection icd11 1f291f2f,approved,d00786
microorganisms infection icd11 1a001a09,approved,d00787
multiple myeloma icd11 2a83,approved,d00788
intrahepatic cholangiocarcinoma icd11 2c1210,phase 3,d00788
escherichia coli infection icd11 1a03,phase 2,d00789
human immunodeficiency virus infection icd11 1c62,approved,d00790
aspergillosis icd11 1f20,approved,d00791
cytomegalovirus infection icd11 1d82,phase 3,d00792
metabolic acidosis icd11 5c73,approved,d00795
alzheimer disease icd11 8a20,approved,d00798
venous thrombosis icd11 ba43,approved,d00801
central nervous system disease icd11 8a048d87,approved,d00803
lennoxgastaut syndrome icd11 8a621,approved,d00806
dravet syndrome icd11 8a6111,approved,d00806
infantile spasm icd11 8a620,phase 3,d00806
epilepsy icd11 8a608a68,phase 2,d00806
pain icd11 mg30mg3z,approved,d00807
psychiatric disorder icd11 6e8z,phase 3,d00807
migraine icd11 8a80,phase 2,d00807
chronic myelogenous leukaemia icd11 2a200,approved,d00808
cough icd11 md12,approved,d00809
fibromyalgia icd11 mg3001,approved,d00810
haematological malignancy icd11 2b33y,approved,d00811
hyperthyroidism icd11 5a02,approved,d00812
psychotic disorder icd11 6a206a25,approved,d00813
depression icd11 6a706a7z,approved,d00814
acute lymphoblastic leukaemia icd11 2a85,approved,d00815
crohn disease icd11 dd70,phase 4,d00815
orthostatic hypotension icd11 ba21,approved,d00817
migraine icd11 8a80,approved,d00818
schizophrenia icd11 6a20,approved,d00819
insomnia icd11 7a007a0z,approved,d00820
rheumatoid arthritis icd11 fa20,approved,d00822
female infertility icd11 ga31z,approved,d00823
fungal infection icd11 1f291f2f,approved,d00824
onychomycosis icd11 ee121,phase 2,d00824
thllium and radioactive isotopes of caesium poisoning icd11 ne61,approved,d00826
metal intoxication icd11 ne60,approved,d00826
metal intoxication icd11 ne60,approved,d00827
heart failure icd11 bd10bd13,approved,d00828
arrhythmia icd11 bc9z,approved,d00828
congestive cardiac insufficiency icd11 bd1z,approved,d00828
breast cancer icd11 2c602c65,approved,d00829
tuberculosis icd11 1b101b1z,approved,d00830
bacterial infection icd11 1a001c4z,approved,d00831
mrsa infection icd11 1d010y,phase 3,d00831
addictive disorder icd11 6c506c5z,approved,d00832
nausea icd11 md90,approved,d00832
anaesthesia icd11 9a786,approved,d00834
peptic ulcer icd11 da61,approved,d00836
bacterial infection icd11 1a001c4z,approved,d00837
human immunodeficiency virus infection icd11 1c62,approved,d00838
chronic obstructive pulmonary disease icd11 ca22,phase 3,d00838
breast cancer icd11 2c602c65,approved,d00839
hepatitis c virus infection icd11 1e511,approved,d00840
muscle spasm icd11 mb473,approved,d00841
acidreflux disorder icd11 da22,approved,d00842
nausea icd11 md90,approved,d00843
obesity icd11 5b81,approved,d00844
malaria icd11 1f401f45,approved,d00845
malaria icd11 1f401f45,approved,d01382
dyspareunia icd11 ga12,approved,d00846
postmenopausal vaginal atrophy icd11 ga302,phase 3,d00846
schizophrenia icd11 6a20,approved,d00847
parkinson disease icd11 8a000,approved,d00849
skin cancer icd11 2c302c37,patented,d00849
skin imperfections icd11 ek71,patented,d00849
chronic myelogenous leukaemia icd11 2a200,approved,d00850
multiple myeloma icd11 2a83,phase 2,d00850
solid tumourcancer icd11 2a002f9z,approved,d00851
thrombosis icd11 db61gb90,discontinued in phase 3,d00852
hyperprolactinaemia icd11 5a601,approved,d00856
influenza virus infection icd11 1e301e32,phase 2,d00858
coronavirus disease 2019 covid19 icd11 1d6y,investigative,d00858
constipation icd11 dd911,approved,d00859
thrombosis icd11 db61gb90,approved,d00860
type2 diabetes icd11 5a11,approved,d00861
peripheral arterial disease icd11 bd4z,phase 12,d00861
parkinson disease icd11 8a000,approved,d00862
human immunodeficiency virus infection icd11 1c62,approved,d00863
asthma icd11 ca23,approved,d00867
bacterial infection icd11 1a001c4z,approved,d00868
hypertension icd11 ba00ba04,approved,d00869
asthma icd11 ca23,approved,d00870
type2 diabetes icd11 5a11,approved,d00871
alzheimer disease icd11 8a20,phase 3,d00871
rhinitis icd11 fa20,approved,d00872
insomnia icd11 7a007a0z,approved,d00873
organ transplant rejection icd11 ne84,approved,d00874
pemphigus vulgaris icd11 eb40,phase 3,d00874
immune system disease icd11 4a014b41,investigative,d00874
parkinson disease icd11 8a000,approved,d00875
hyperparathyroidism icd11 5a51,approved,d00876
chronic kidney disease icd11 gb61,approved,d00877
influenza virus infection icd11 1e301e32,phase 2,d00879
hemorrhoids icd11 db60,approved,d00880
chronic bronchitis icd11 ca201,approved,d00884
keratosis icd11 ed56,approved,d00885
acne vulgaris icd11 ed80,approved,d00886
medical abortion icd11 ja001z,approved,d00887
pulmonary hypertension icd11 bb01,approved,d00888
pulmonary hypertension icd11 bb01,phase 4,d00889
hay fever icd11 ca0800,approved,d00890
coronavirus disease 2019 covid19 icd11 1d6y,phase 23,d00892
pain icd11 mg30mg3z,approved,d00893
cough icd11 md12,phase 1,d00893
psoriasis vulgaris icd11 ea90,approved,d00895
prostate cancer icd11 2c820,approved,d00896
cancer related pain icd11 mg30,phase 4,d00897
angina pectoris icd11 ba40,approved,d00898
nausea and vomiting icd11 md90,approved,d00899
pain icd11 mg30mg3z,approved,d00900
pain icd11 mg30mg3z,approved,d00901
chronic pain icd11 mg30,phase 3,d00901
fibromyalgia icd11 mg3001,approved,d00902
epilepsy icd11 8a608a68,approved,d00902
bacterial infection icd11 1a001c4z,approved,d00903
insomnia icd11 7a007a0z,approved,d00904
opioid dependence icd11 6c432z,approved,d00905
opioid dependence icd11 6c432z,approved,d01383
narcotic depression icd11 6a7z,approved,d00906
respiratory depression icd11 md115,phase 3,d00906
pruritus icd11 ec90,phase 3,d00906
opioid dependence icd11 6c432z,phase 1,d00906
pain icd11 mg30mg3z,approved,d00907
back pain icd11 me84z,phase 3,d00907
pain icd11 mg30mg3z,approved,d00908
organ transplant rejection icd11 ne84,approved,d00909
multiple myeloma icd11 2a83,approved,d00909
dutch elm disease icd11 8d64,phase 12,d00909
alcohol dependence icd11 6c402,approved,d00910
epilepsy icd11 8a608a68,approved,d00910
seizure disorder icd11 8a6z,investigative,d00910
spasm icd11 mb473,approved,d00911
overactive bladder icd11 gc500,approved,d00911
chronic pain icd11 mg30,approved,d00912
obesity icd11 5b81,approved,d00913
parkinson disease icd11 8a000,approved,d00914
substance use disorder icd11 6c4z,phase 1,d00914
pulmonary arterial hypertension icd11 bb010,approved,d00915
pain icd11 mg30mg3z,approved,d00916
prurigo nodularis icd11 ec910,phase 23,d00916
uremic pruritus icd11 ec9010,phase 23,d00916
diabetic complication icd11 5a2y,approved,d00917
hypertension icd11 ba00ba04,approved,d00918
dravet syndrome icd11 8a6111,approved,d00919
epilepsy icd11 8a608a68,approved,d00919
solid tumourcancer icd11 2a002f9z,approved,d00920
breast cancer icd11 2c602c65,phase 2,d00921
schizophrenia icd11 6a20,approved,d00922
benign prostatic hyperplasia icd11 ga90,approved,d00923
depression icd11 6a706a7z,approved,d00924
breast cancer icd11 2c602c65,approved,d00925
gastrointestinal stromal tumour icd11 2b5b,approved,d00926
gastrointestinal cancer icd11 2c11,approved,d00926
breast cancer icd11 2c602c65,approved,d00927
solid tumourcancer icd11 2a002f9z,phase 2,d00927
schizophrenia icd11 6a20,terminated,d00927
breast cancer icd11 2c602c65,approved,d00927
solid tumourcancer icd11 2a002f9z,phase 2,d00927
schizophrenia icd11 6a20,terminated,d00927
breast cancer icd11 2c602c65,approved,d01384
solid tumourcancer icd11 2a002f9z,phase 2,d01384
schizophrenia icd11 6a20,terminated,d01384
breast cancer icd11 2c602c65,approved,d01384
solid tumourcancer icd11 2a002f9z,phase 2,d01384
schizophrenia icd11 6a20,terminated,d01384
cutaneous tcell lymphoma icd11 2b01,approved,d00928
renal cell carcinoma icd11 2c90,phase 3,d00928
peripheral tcell lymphoma icd11 2a90c,phase 3,d00928
pain icd11 mg30mg3z,approved,d00929
ischemic stroke icd11 8b115z,terminated,d00929
alcohol dependence icd11 6c402,approved,d00931
human immunodeficiency virus infection icd11 1c62,phase 4,d00931
cough icd11 md12,approved,d00932
pain icd11 mg30mg3z,approved,d00933
opioidinduced constipation icd11 db321,approved,d00934
obesity icd11 5b81,preclinical,d00934
bacterial infection icd11 1a001c4z,approved,d00935
hypertension icd11 ba00ba04,approved,d00936
hypertension icd11 ba00ba04,approved,d00937
congestive heart failure icd11 bd10,approved,d00938
human immunodeficiency virus infection icd11 1c62,approved,d00939
multidrug resistant tuberculosis icd11 mg5200,approved,d00940
hypertension icd11 ba00ba04,approved,d00941
nausea and vomiting icd11 md90,approved,d00942
osteoporosis icd11 fb830,approved,d00943
hypokalemia icd11 5c77,approved,d00945
ischemic stroke icd11 8b115z,approved,d00946
acute bronchitis icd11 ca42,approved,d00948
bacterial infection icd11 1a001c4z,approved,d00949
hypertension icd11 ba00ba04,approved,d00950
chronic obstructive pulmonary disease icd11 ca22,approved,d00951
chronic obstructive pulmonary disease icd11 ca22,approved,d00952
gastrointestinal disease icd11 de2z,approved,d00953
hypertension icd11 ba00ba04,approved,d00954
angina pectoris icd11 ba40,discontinued in phase 3,d00955
peptic ulcer icd11 da61,approved,d00956
solid tumourcancer icd11 2a002f9z,approved,d00957
osteosarcoma icd11 2b51,phase 2,d00957
blood brain barrier icd11 5c615,approved,d00959
malaria icd11 1f401f45,approved,d00960
intestinal strongyloidiasis due to nematode parasite icd11 1f6b,approved,d00961
diarrhea icd11 me051,approved,d00963
infectious disease icd11 1a00ca431,phase 3,d00963
bacterial infection icd11 1a001c4z,approved,d00965
nausea icd11 md90,approved,d00966
discovery agent icd11 na,approved,d00967
dyspepsia icd11 md92,approved,d00969
bacterial infection icd11 1a001c4z,approved,d00970
malaria icd11 1f401f45,approved,d00971
renal cell carcinoma icd11 2c90,approved,d00972
kidney cancer icd11 2c900,phase 3,d00972
breast cancer icd11 2c602c65,approved,d00973
renal cell carcinoma icd11 2c90,approved,d00974
chemotherapyinduced nausea icd11 md90,phase 3,d00975
human immunodeficiency virus infection icd11 1c62,approved,d00976
pain icd11 mg30mg3z,investigative,d00976
tinnitus icd11 mc41,approved,d00977
multidrug resistant tuberculosis icd11 mg5200,approved,d00978
mycobacterium infection icd11 1b101b21,phase 3,d00978
contraception icd11 qa21,approved,d00979
urinary tract infection icd11 gc08,approved,d00980
chagas disease icd11 if53,approved,d00981
trypanosomiasis icd11 1d511f53,phase 4,d00981
hyperthermia icd11 mg26,approved,d00982
bacterial infection icd11 1a001c4z,approved,d00983
gastroesophageal reflux disease icd11 da22z,approved,d00984
gastrointestinal disease icd11 de2z,investigative,d00984
contraception icd11 qa21,approved,d00985
fibromyalgia icd11 mg3001,approved,d00986
pulmonary arterial hypertension icd11 bb010,approved,d00987
osteoporosis icd11 fb830,approved,d00988
mood disorder icd11 6a606e23,approved,d00989
female sexual arousal dysfunction icd11 ha011,phase 3,d00989
renal cell carcinoma icd11 2c90,approved,d00990
solid tumourcancer icd11 2a002f9z,approved,d00991
benign prostatic hyperplasia icd11 ga90,approved,d00992
prostate cancer icd11 2c820,phase 3,d00992
complex partial seizure icd11 8a680,phase 3,d00993
postpartum depression icd11 6e200,phase 2,d00993
major depressive disorder icd11 6a703,approved,d00994
acute coronary syndrome icd11 ba41,approved,d00995
invasive aspergillosis icd11 1f200,phase 3,d00996
invasive candidiasis icd11 1f23,phase 3,d00996
candidemia icd11 1f233y,phase 3,d00996
lupus nephritis icd11 4a400y,approved,d00997
psoriasis vulgaris icd11 ea90,phase 3,d00997
kidney disease icd11 gc2z,phase 2,d00997
pulmonary arterial hypertension icd11 bb010,approved,d00998
type2 diabetes icd11 5a11,approved,d00999
filarial disease icd11 1f66,phase 1,d01000
actinic keratosis icd11 ek900,approved,d01001
melanoma icd11 2c30,phase 3,d01001
multiple myeloma icd11 2a83,approved,d01002
type2 diabetes icd11 5a11,phase 3,d01002
primary myelofibrosis icd11 2a202,phase 2,d01002
bacterial infection icd11 1a001c4z,approved,d01003
peptic ulcer icd11 da61,approved,d01004
atrial fibrillation icd11 bc813,phase 3,d01005
bacterial infection icd11 1a001c4z,approved,d01006
coagulation defect icd11 3b100,withdrawn from market,d01007
