indication,state,fhdi_drug_id
thalassemia icd11 3a50,approved,d00112
attention deficit hyperactivity disorder icd11 6a05z,approved,d00113
depression icd11 6a706a7z,approved,d00113
attention deficit hyperactivity disorder icd11 6a05z,approved,d00114
epilepsy icd11 8a608a68,approved,d00115
osteoarthritis icd11 fa00fa05,approved,d00116
chronic glaucoma icd11 9c610z,approved,d00117
chronic glaucoma icd11 9c610z,approved,d01366
functional bowel syndrome icd11 dd910,approved,d00118
lymphatic filariasis icd11 1f663,approved,d00119
pain icd11 mg30mg3z,approved,d00120
meniere disease icd11 ab310,approved,d00121
hypertension icd11 ba00ba04,approved,d00122
pain icd11 mg30mg3z,withdrawn from market,d00123
fever icd11 mg26,withdrawn from market,d00123
ventricular arrhythmias icd11 bc71,approved,d00124
urinary incontinence icd11 mf502,withdrawn from market,d00124
alcohol dependence icd11 6c402,approved,d00125
gastrointestinal disease icd11 de2z,approved,d00127
alzheimer disease icd11 8a20,approved,d00128
hypertension icd11 ba00ba04,approved,d00129
morning sickness icd11 sc00,approved,d00130
pain icd11 mg30mg3z,approved,d00131
urinary tract infection icd11 gc08,approved,d00133
insomnia icd11 7a007a0z,approved,d00134
epilepsy icd11 8a608a68,approved,d00136
complex partial seizure icd11 8a680,approved,d00137
pagets disease icd11 fb85,approved,d00138
pain icd11 mg30mg3z,approved,d00139
virus infection icd11 1a241d9z,approved,d00140
epilepsy icd11 8a608a68,approved,d00141
hypertension icd11 ba00ba04,approved,d00142
dravet syndrome icd11 8a6111,phase 3,d00143
lennoxgastaut syndrome icd11 8a621,phase 3,d00143
obesity icd11 5b81,withdrawn from market,d00143
high cholesterol level icd11 5c800,approved,d00144
hypertension icd11 ba00ba04,approved,d00145
rheumatoid arthritis icd11 fa20,approved,d00146
asthma icd11 ca23,approved,d00147
analgesia icd11 mb408,approved,d00148
pain icd11 mg30mg3z,phase 3,d00148
cancer related pain icd11 mg30,phase 3,d00148
chronic pain icd11 mg30,phase 1,d00148
allergic rhinitis icd11 ca080,approved,d00149
suprapubic pain icd11 mg30mg3z,approved,d00150
nocturia icd11 mf55,approved,d00150
urgency icd11 na,approved,d00150
dysuria icd11 mf507,approved,d00150
tachyarrhythmias icd11 bc71,approved,d00151
paroxysmal atrial fibrillation icd11 bc8130,phase 1,d00151
atrial fibrillation icd11 bc813,investigative,d00151
bacterial infection icd11 1a001c4z,approved,d00152
arthritis icd11 fa20,withdrawn from market,d00153
fungal infection icd11 1f291f2f,approved,d00154
anxiety disorder icd11 6b006b0z,approved,d00155
psychotic disorder icd11 6a206a25,approved,d00156
